topic,label
0,-1_la_le_des
1,0_gaps_bridge_phc
2,1_young_africa_brand
3,2_2f_2f linkname_linkname
4,3_health_land_okpebholo
5,4_state_government_security
6,5_state_edo_edo state
7,6_на_army_del
8,7_pdp_party_elections
9,8_la_du_le
10,9_95_police_suspected
11,10_police_ndlea_suspects
12,11_sister_police_women
13,12_attack_labour party_labour
14,13_dahomey_artifacts_documentary
15,14_la_que_le
16,15_nigeria_burkina_burkina faso
17,16_details_sofitel_cotonou
18,17_pdp_secretariat_edo
19,18_la_le_et
20,19_soludo_anambra_election
21,20_waters_nigerian_incident
22,21_republic_benin republic_governor
23,22_victim_police_abductors
24,23_mowaa_museum_thugs
25,24_des_le_la
26,25_niger_allegations_diplomat
27,26_qatar_al_doha
28,27_site_politics_2026
29,28_oba_benin_governor
30,29_la_le_les
31,30_ondo_youth_king
32,31_ransom_n1_abducted
33,32_upheld_gombe_option
34,33_oyo_lawmaker_roads
35,34_jonathan_president_2027
36,35_news_nigeria_state
37,36_jeff_walks_red
38,37_french_france_military
39,38_borno_containing_abandoned
40,39_allafrica_media_steve
41,40_niger_ministry_summoned
42,41_festival_vodun_ouidah
